Rule ID,Entity,Bad Value,Expected Format / Reference,Violation
SF_UNI_001,Time Profile,DUPLICATE,"Example 1: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_CON_002,Cost Center,INCONSISTENT,Example 2: Value does not match reference data,"Cross-validate 'Cost Center' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_003,Email,DUPLICATE,"Example 3: Format does not meet standard (e.g., missing @ in email)",Identify and resolve duplicate entries in 'Email' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_UNI_004,Cost Center,DUPLICATE,Example 4: Entity ID duplicated across records,Identify and resolve duplicate entries in 'Cost Center' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_UNI_005,Gender,DUPLICATE,Example 5: Date field is before expected lower limit,Identify and resolve duplicate entries in 'Gender' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_006,Time Profile,,Example 6: Entity ID duplicated across records,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_TIM_007,Time Profile,OLD_DATA,Example 7: Field is missing for active employee,Update stale 'Time Profile' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_VAL_008,Email,INVALID_VALUE,Example 8: Value does not match reference data,Ensure 'Email' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_ACC_009,Nationality,APPROXIMATE,Example 9: Date field is before expected lower limit,Validate the 'Nationality' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_ACC_010,Contract Dates,APPROXIMATE,Example 10: Field is missing for active employee,Validate the 'Contract Dates' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_UNI_011,Manager ID,DUPLICATE,Example 11: Field is missing for active employee,Identify and resolve duplicate entries in 'Manager ID' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_012,Time Profile,,Example 12: Hierarchical data shows circular references,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_ACC_013,Cost Center,APPROXIMATE,Example 13: Entity ID duplicated across records,Validate the 'Cost Center' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_VAL_014,Position Assignment,INVALID_VALUE,Example 14: Field is missing for active employee,Ensure 'Position Assignment' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_015,Manager ID,INVALID_VALUE,Example 15: Value does not match reference data,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_UNI_016,Time Profile,DUPLICATE,Example 16: Value does not match reference data,Identify and resolve duplicate entries in 'Time Profile' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_017,Cost Center,,Example 17: Date field is before expected lower limit,"Fill missing 'Cost Center' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_018,Email,INCONSISTENT,Example 18: Field is missing for active employee,"Cross-validate 'Email' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_ACC_019,Time Profile,APPROXIMATE,"Example 19: Format does not meet standard (e.g., missing @ in email)",Validate the 'Time Profile' data against SAP SuccessFactors master tables or integration feed. Correct mismatches to reflect true employee or organizational status.
SF_COM_020,Position Assignment,,Example 20: Value does not match reference data,"Fill missing 'Position Assignment' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_CON_021,Nationality,INCONSISTENT,Example 21: Field is missing for active employee,"Cross-validate 'Nationality' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
